frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
10183	15.556975000	0x40	192	0x509c	0	2	0002
10185	15.557512000	0x40	192	0x5066	0	3	9d0111
10187	15.557945000	0xc0	192	0x5066	0	1	
10191	15.558874000	0x40	192	0x509c	0	2	0002
10193	15.558952000	0x40	192	0x5066	0	3	9d0112
10195	15.559391000	0xc0	192	0x5066	0	1	
10197	15.560285000	0x40	192	0x509c	0	2	0002
10199	15.560379000	0x40	192	0x5066	0	3	9d0112
10201	15.560833000	0xc0	192	0x5066	0	1	
10203	15.561742000	0x40	192	0x509c	0	2	0002
10205	15.561869000	0x40	192	0x5066	0	3	9d0111
10209	15.562295000	0xc0	192	0x5066	0	1	
10213	15.563156000	0x40	192	0x509c	0	2	0002
10215	15.563254000	0x40	192	0x509c	0	2	2000
10217	15.563708000	0x40	192	0x5066	0	3	9b0109
10219	15.564233000	0xc0	192	0x5066	0	1	
10227	15.566447000	0x40	192	0x5066	0	3	9b010e
10231	15.567069000	0xc0	192	0x5066	0	1	
10305	15.671655000	0x40	192	0x5066	0	3	9b010e
10307	15.671739000	0xc0	192	0x5066	0	1	
10311	15.672616000	0x40	192	0x509c	0	2	0000
10313	15.672712000	0x40	192	0x5066	0	3	9d0155
10315	15.673251000	0xc0	192	0x5066	0	1	
10317	15.674132000	0x40	192	0x509c	0	2	0000
10319	15.674232000	0x40	192	0x509c	0	2	b3ff
10321	15.674672000	0x40	192	0x509c	0	2	0002
10325	15.675211000	0x40	192	0x509c	0	2	27ff
10327	15.675753000	0x40	192	0x509c	0	2	0002
10329	15.676286000	0x40	192	0x5066	0	3	9d0111
10331	15.676724000	0xc0	192	0x5066	0	1	
10333	15.677610000	0x40	192	0x509c	0	2	0002
10335	15.677694000	0x40	192	0x5066	0	3	9d0112
10337	15.678139000	0xc0	192	0x5066	0	1	
10341	15.679022000	0x40	192	0x509c	0	2	0002
10343	15.679114000	0x40	192	0x5066	0	3	9d0112
10345	15.679551000	0xc0	192	0x5066	0	1	
10347	15.680481000	0x40	192	0x509c	0	2	0002
10349	15.680547000	0x40	192	0x5066	0	3	9d0111
10351	15.680986000	0xc0	192	0x5066	0	1	
10353	15.681861000	0x40	192	0x509c	0	2	0002
10357	15.681987000	0x40	192	0x509c	0	2	2000
10359	15.682398000	0x40	192	0x5066	0	3	9b0109
10363	15.682926000	0xc0	192	0x5066	0	1	
10371	15.685149000	0x40	192	0x5066	0	3	9b010e
10373	15.685784000	0xc0	192	0x5066	0	1	
10453	15.791520000	0x40	192	0x5066	0	3	9b010e
10455	15.791610000	0xc0	192	0x5066	0	1	
10459	15.792490000	0x40	192	0x509c	0	2	0000
10461	15.792587000	0x40	192	0x5066	0	3	9d0155
10463	15.793125000	0xc0	192	0x5066	0	1	
10465	15.794029000	0x40	192	0x509c	0	2	0000
10467	15.794101000	0x40	192	0x509c	0	2	b3ff
10469	15.794544000	0x40	192	0x509c	0	2	0002
10473	15.795070000	0x40	192	0x509c	0	2	27ff
10475	15.795616000	0x40	192	0x509c	0	2	0002
10477	15.796146000	0x40	192	0x5066	0	3	9d0111
10479	15.796594000	0xc0	192	0x5066	0	1	
10481	15.797472000	0x40	192	0x509c	0	2	0002
10483	15.797572000	0x40	192	0x5066	0	3	9d0112
10485	15.798001000	0xc0	192	0x5066	0	1	
10489	15.798877000	0x40	192	0x509c	0	2	0002
10491	15.798977000	0x40	192	0x5066	0	3	9d0112
10493	15.799427000	0xc0	192	0x5066	0	1	
10495	15.800298000	0x40	192	0x509c	0	2	0002
10497	15.800393000	0x40	192	0x5066	0	3	9d0111
10499	15.800839000	0xc0	192	0x5066	0	1	
10501	15.801717000	0x40	192	0x509c	0	2	0002
10503	15.801815000	0x40	192	0x509c	0	2	2000
10507	15.802256000	0x40	192	0x5066	0	3	9b0109
10509	15.802788000	0xc0	192	0x5066	0	1	
10519	15.805037000	0x40	192	0x5066	0	3	9b010e
10521	15.805673000	0xc0	192	0x5066	0	1	
10597	15.908681000	0x40	192	0x5066	0	3	9b010e
10599	15.908822000	0xc0	192	0x5066	0	1	
10601	15.909678000	0x40	192	0x509c	0	2	0000
10603	15.909782000	0x40	192	0x5066	0	3	9d0155
10605	15.910362000	0xc0	192	0x5066	0	1	
10609	15.911203000	0x40	192	0x509c	0	2	0000
10611	15.911299000	0x40	192	0x509c	0	2	b3ff
10613	15.911736000	0x40	192	0x509c	0	2	0002
10617	15.912266000	0x40	192	0x509c	0	2	27ff
10619	15.912809000	0x40	192	0x509c	0	2	0002
10621	15.913343000	0x40	192	0x5066	0	3	9d0111
10623	15.913782000	0xc0	192	0x5066	0	1	
10625	15.914656000	0x40	192	0x509c	0	2	0002
10627	15.914760000	0x40	192	0x5066	0	3	9d0112
10631	15.915197000	0xc0	192	0x5066	0	1	
10633	15.916075000	0x40	192	0x509c	0	2	0002
